No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
21,AJG,32.43B,34.68,22.30,2.99,3.95,3.77,11.86,27.90,19.40%,13.54%,15.30%,11.60%,5.40%,154.90,1.01%,"306,055"
22,AKAM,18.25B,30.40,18.66,2.53,5.37,3.93,9.52,17.49,16.10%,4.62%,13.60%,12.00%,7.80%,110.98,0.30%,"1,020,693"
23,ALB,27.23B,120.47,37.04,4.04,8.22,4.68,45.76,-,-29.90%,52.08%,5.40%,29.83%,2.10%,241.27,5.97%,"574,457"
24,ALGN,41.70B,52.14,32.18,1.21,10.55,11.35,-,46.58,305.50%,25.59%,66.20%,43.25%,23.90%,520.48,2.93%,"355,953"
25,ALK,7.37B,15.23,8.80,0.78,1.19,2.02,2.31,15.74,-273.30%,124.27%,-29.50%,19.43%,-8.60%,59.70,4.72%,"1,610,254"
26,ALL,35.75B,7.36,9.62,-,0.71,1.48,51.81,8.04,20.10%,33.28%,27.20%,-4.00%,3.00%,124.10,-0.56%,"978,810"
27,ALLE,10.78B,23.24,20.68,2.99,3.73,12.29,21.39,27.71,-20.50%,12.37%,16.30%,7.77%,5.60%,117.91,-0.35%,"728,937"
28,AMAT,123.60B,20.56,14.76,1.24,5.36,9.67,22.64,31.40,63.40%,9.07%,33.00%,16.54%,16.30%,138.61,5.12%,"4,252,804"
29,AMCR,17.56B,18.78,13.61,2.70,1.29,3.94,28.05,173.85,55.60%,6.78%,23.80%,6.95%,6.40%,11.82,2.16%,"3,048,927"
30,AMD,152.29B,44.39,23.94,1.29,9.27,18.43,42.21,47.29,24.70%,17.71%,44.60%,34.37%,30.90%,120.04,5.05%,"97,613,191"
31,AME,31.19B,30.61,22.44,-,5.62,4.59,86.94,31.06,0.50%,6.70%,9.10%,-1.20%,2.70%,132.21,1.58%,"322,250"
32,AMGN,126.67B,21.76,11.68,3.05,4.88,15.48,9.80,25.31,-4.40%,9.00%,6.30%,7.13%,3.30%,223.14,-0.50%,"1,187,366"
33,AMP,34.99B,13.05,10.16,0.49,2.60,6.14,4.48,167.42,-12.30%,15.31%,7.60%,26.39%,-0.40%,308.12,2.38%,"257,563"
34,AMT,109.23B,42.64,43.77,2.66,12.09,19.70,33.33,60.25,-10.60%,-7.77%,21.90%,16.01%,11.00%,234.29,0.00%,"905,955"
35,AMZN,1637.94B,47.95,42.78,1.38,3.49,11.43,17.05,-,54.90%,50.94%,67.60%,34.80%,28.10%,3117.33,0.45%,"1,707,044"
36,ANET,39.66B,49.89,35.43,2.62,14.31,9.77,11.71,43.37,-24.90%,24.85%,36.70%,19.02%,22.60%,131.15,6.78%,"4,836,716"
37,ANSS,28.88B,59.65,40.01,5.33,15.41,6.38,26.71,48.76,-5.00%,9.50%,12.50%,11.18%,12.30%,323.91,2.14%,"174,710"
38,ANTM,110.09B,17.96,13.77,1.40,0.79,3.02,20.05,23.17,-2.60%,13.22%,13.90%,12.86%,9.00%,447.78,0.86%,"337,027"
39,AON,62.51B,50.22,19.21,3.53,5.13,28.56,8.53,26.49,32.50%,10.57%,14.50%,14.21%,3.10%,283.25,1.20%,"414,519"
40,AOS,11.48B,23.57,18.68,2.95,3.24,5.98,16.76,32.69,-4.40%,7.44%,6.10%,8.00%,2.70%,72.81,2.22%,"465,014"
41,APA,11.44B,20.26,5.30,-,1.66,-,30.35,3.99,-36.40%,47.72%,14.80%,-,-7.40%,32.21,0.22%,"4,658,502"
42,APD,55.75B,25.59,20.81,2.28,5.10,3.91,15.14,-,6.60%,13.61%,12.60%,11.20%,6.60%,248.49,2.05%,"671,210"
43,APH,46.56B,30.02,24.92,2.86,4.28,7.15,37.50,55.89,28.20%,9.69%,14.00%,10.50%,11.60%,76.83,2.02%,"1,127,367"
44,APTV,37.48B,70.27,22.03,1.42,2.40,4.43,11.94,61.34,-70.30%,39.85%,-8.60%,49.34%,4.90%,143.37,4.95%,"1,341,081"
